Month,Year,Autonomous Community,Province,Relation,Victim Age,Agressor Age,Previous Abuse Report,Living Together,Victims
October,2015,Canarias,Santa Cruz de Tenerife,Ex-partner,31-40 years,31-40 years,Yes,No,1
October,2015,Castilla y León,Palencia,Partner,31-40 years,41-50 years,No,Yes,1
October,2015,Galicia,Pontevedra,Ex-partner,31-40 years,31-40 years,No,No,1
October,2015,Galicia,Pontevedra,Partner,31-40 years,51-64 years,Yes,Yes,1
October,2015,Galicia,Pontevedra,Partner,65-74 years,51-64 years,No,Yes,1
October,2015,Región de Murcia,Murcia,Partner,21-30 years,31-40 years,Yes,Yes,1
October,2015,País Vasco,Vizcaya,Partner,31-40 years,31-40 years,No,No,1
November,2015,Comunidad Valenciana,Alicante,Partner,41-50 years,41-50 years,No,Yes,1
November,2015,Andalucía,Córdoba,Partner,21-30 years,51-64 years,No,No,1
November,2015,Principado de Asturias,Asturias,Partner,65-74 years,51-64 years,No,Yes,1
November,2015,Comunidad Valenciana,Valencia,Ex-partner,41-50 years,41-50 years,Yes,No,1
November,2015,Andalucía,Sevilla,Partner,41-50 years,41-50 years,No,Yes,1
November,2015,Andalucía,Sevilla,Partner,41-50 years,51-64 years,No,Yes,1
November,2015,Comunidad de Madrid,Madrid,Partner,31-40 years,31-40 years,Yes,Yes,1
December,2015,Andalucía,Granada,Partner,51-64 years,51-64 years,No,Yes,1
December,2015,Andalucía,Sevilla,Partner,31-40 years,31-40 years,Yes,No,1
December,2015,Aragón,Zaragoza,Partner,41-50 years,41-50 years,No,Yes,1
December,2015,Canarias,Las Palmas,Partner,21-30 years,31-40 years,Yes,Yes,1
December,2015,Comunidad Valenciana,Alicante,Partner,31-40 years,31-40 years,No,Yes,2
December,2015,Galicia,Pontevedra,Partner,65-74 years,65-74 years,Yes,Yes,1
December,2015,Comunidad de Madrid,Madrid,Ex-partner,41-50 years,41-50 years,Yes,No,1
December,2015,Galicia,A Coruña,Partner,75-84 years,75-84 years,Yes,Yes,1
December,2015,Andalucía,Almería,Partner,21-30 years,51-64 years,No,Yes,1
January,2016,Principado de Asturias,Asturias,Partner,41-50 years,41-50 years,No,Yes,1
January,2016,Illes Balears,Illes Balears,Partner,41-50 years,41-50 years,No,Yes,1
January,2016,Castilla - La Mancha,Guadalajara,Partner,31-40 years,31-40 years,No,Yes,1
January,2016,Castilla - La Mancha,Toledo,Partner,51-64 years,51-64 years,No,Yes,1
January,2016,Cataluña,Tarragona,In separation process,41-50 years,51-64 years,No,Yes,1
January,2016,Comunitat Valenciana,Valencia/València,Partner,65-74 years,75-84 years,No,Yes,1
January,2016,Extremadura,Badajoz,Ex-partner,21-30 years,21-30 years,Yes,No,1
January,2016,Comunidad de Madrid,Madrid,In separation process,41-50 years,31-40 years,Yes,Yes,1
February,2016,Aragón,Zaragoza,Ex-partner,31-40 years,41-50 years,Yes,No,1
February,2016,Comunitat Valenciana,Valencia/València,Partner,65-74 years,75-84 years,No,Yes,1
February,2016,Galicia,Lugo,In separation process,31-40 years,21-30 years,No,No,1
March,2016,Principado de Asturias,Asturias,Partner,31-40 years,41-50 years,Yes,Yes,1
March,2016,Illes Balears,Illes Balears,Partner,18-20 years,21-30 years,Yes,No,1
